Dynamical Matrix
0.84296593 -4.59641889 1.96055271
0.84296593 4.59641889 -1.96055271
0.09996653 -0.00000000 -0.00000000
-0.06108411 -0.17091789 -0.07015197
-0.06108411 0.17091788 0.07015197
-0.00000000 -166.42241479 17.33598549
0.00000000 25.70736696 82.65340484
0.00000000 614.49038192 -132.80646920
0.00000000 -0.47210254 -0.47741596
-0.00000000 -0.16100160 4.97373680
-0.00000000 2.33700072 0.16236646
0.00000000 10.34092924 -4.71975894
-7.05471089 -5.46023086 -1.18700728
7.05471089 -5.46023086 -1.18700727
0.00000000 -0.21928790 -0.48667169
-0.20736863 -0.16088613 -0.06035968
0.20736862 -0.16088613 -0.06035968
-0.00000000 1.66893227 0.22632095
-0.00000000 -2.05549739 -1.47493856
0.00000000 -3.68591268 0.36064745
0.00000000 0.56488344 0.24095477
0.00000000 -1.70258989 -1.51782448
0.00000000 -1.63915807 0.02206054
0.00000000 1.82755569 0.26207379
-4.86879076 -8.23815396 0.24862994
4.86879076 -8.23815396 0.24862994
-0.00000000 0.43631630 0.23299637
-0.17568769 -0.24557145 -0.15982632
0.17568769 -0.24557145 -0.15982632
-0.00000000 38.35280220 -46.05213911
-0.00000000 -0.90260088 -1.34998761
0.00000000 -133.79091629 189.83415271
0.00000000 -0.49712580 2.10545608
-0.00000000 4.70264211 -4.33767756
0.00000000 -0.00934372 -5.72834266
0.00000000 -4.62147924 -4.36140125
0.86318040 -2.42069050 4.96486886
-0.86318040 -2.42069050 4.96486886
0.00000000 -0.48672176 1.71250230
-0.08927896 0.11474654 -2.80887932
0.08927896 0.11474654 -2.80887932
0.00000000 0.20950568 -0.80621605
0.00000000 -1.50997933 0.04917236
0.00000000 0.29754222 1.04981788
0.00000000 0.23701210 0.70481786
0.00000000 -1.50742964 -0.42573649
-0.00000000 0.00535286 -0.98775595
0.00000000 0.35527059 -1.24913590
2.01209725 0.29114210 5.01057082
-2.01209725 0.29114211 5.01057082
0.00000000 0.22056969 0.82527031
-0.07672452 -0.16778003 -2.34074160
0.07672452 -0.16778003 -2.34074160
0.05771739 0.00000000 0.00000000
-0.20065679 0.00000000 -0.00000000
-0.28617876 -0.00000000 0.00000000
9.98921235 -0.00000000 0.00000000
-12.76994811 0.00000000 0.00000000
-13.94453354 -0.00000000 0.00000000
0.71344939 -0.00000000 0.00000000
0.02928806 0.13590977 0.53930093
0.02928806 -0.13590977 -0.53930093
0.74161420 -0.00000000 0.00000000
0.03547709 0.64121119 0.15392368
0.03547709 -0.64121119 -0.15392368
-0.08324351 -0.00000000 0.00000000
0.39738402 0.00000000 -0.00000000
0.07412376 -0.00000000 -0.00000000
-0.11793416 0.00000000 0.00000000
0.20606452 0.00000000 0.00000000
0.49921675 0.00000000 0.00000000
-0.03349520 0.00000000 -0.00000000
0.01095246 0.04250402 -0.03806021
0.01095246 -0.04250402 0.03806021
-7.84681342 0.00000000 0.00000000
6.44637263 6.33901144 -4.41731373
6.44637263 -6.33901144 4.41731373
0.00000000 -0.15007419 0.00000042
0.00000000 0.64892856 0.81232155
0.00000000 -0.48393474 -0.49085170
-0.00000000 58.75257529 5.48880180
-0.00000000 -40.52937477 23.54350870
0.00000000 -166.43155916 -38.30960065
-0.00000000 1.06513324 -0.22342220
0.10903221 -0.73881809 0.40295939
-0.10903221 -0.73881809 0.40295939
-0.00000000 -6.30907031 -2.49011635
0.55393732 2.11727342 0.20311059
-0.55393732 2.11727342 0.20311059
0.00000000 0.06936478 -0.00000036
-0.00000000 -0.30800814 -0.69962363
-0.00000000 0.53711906 0.23385873
0.00000000 -0.87981466 0.00000000
-0.00000000 1.40685293 -0.06496133
0.00000000 1.58898470 -0.23002659
-0.00000000 -0.40955577 0.03840187
0.04298678 0.70055203 -0.16896127
-0.04298678 0.70055203 -0.16896127
0.00000000 -1.50072770 2.26410217
6.17427436 -1.56038445 -2.85589625
-6.17427436 -1.56038445 -2.85589625
0.00000000 -0.00000039 -0.55386035
-0.00000000 0.82526839 0.90046340
0.00000000 -0.50491468 2.10357280
-0.00000000 5.46361344 64.49715825
0.00000000 2.39228665 -180.43149278
0.00000000 -17.45944225 -45.98533117
-0.00000000 -0.21207960 -6.91262517
0.45061502 0.39078962 2.05402580
-0.45061502 0.39078963 2.05402580
0.00000000 -2.47129026 0.12334349
0.11714525 0.14216924 -0.83296702
-0.11714525 0.14216924 -0.83296702
0.00000000 0.00000032 -0.63346634
0.00000000 -0.69882934 1.17984807
0.00000000 0.23877967 0.70081135
0.00000000 0.00000000 0.32062258
0.00000000 -0.06314543 -0.35589159
0.00000000 -0.24613507 -0.80204196
0.00000000 0.03953407 -0.21811399
-0.03723892 -0.16153054 0.62641699
0.03723892 -0.16153053 0.62641699
0.00000000 2.28294916 0.12498085
-4.39617993 -3.01573369 -3.51018005
4.39617993 -3.01573369 -3.51018005
-0.20140877 0.00000000 0.00000000
0.04107459 0.00000000 0.00000000
1.85089589 0.00000000 0.00000000
-12.71268417 -0.00000000 -0.00000000
68.55190687 -0.00000000 -0.00000000
-0.85663812 -0.00000000 0.00000001
-4.41275208 -0.00000000 -0.00000000
-1.50210178 -1.66067117 -6.56695451
-1.50210178 1.66067117 6.56695451
-0.15987705 0.00000000 -0.00000000
0.10724704 -0.14732842 -0.25415601
0.10724704 0.14732842 0.25415601
0.45297548 -0.00000000 0.00000000
-0.21091446 -0.00000000 0.00000000
-0.72360129 0.00000000 -0.00000001
0.19649439 0.00000000 0.00000000
-0.51418575 -0.00000000 0.00000000
-0.72950358 0.00000000 0.00000000
0.13357951 0.00000000 0.00000000
-0.03511262 -0.20009930 0.19050341
-0.03511262 0.20009930 -0.19050341
0.76937043 0.00000000 0.00000000
-0.27545920 0.21110097 5.36406432
-0.27545920 -0.21110097 -5.36406432
0.00000000 0.70217403 -0.84232188
0.00000000 -0.47411801 -0.11284526
-0.00000000 0.06833365 4.69850779
-0.00000000 -40.51682733 2.51556278
0.00000000 148.53167482 -17.13539544
-0.00000000 25.71608023 1.02462384
0.00000000 -5.44070974 1.46781122
-1.70648384 2.36482745 -4.65620398
1.70648383 2.36482744 -4.65620398
-0.00000000 0.86549176 0.84733308
-0.26587652 -2.97584951 -1.16869656
0.26587652 -2.97584951 -1.16869656
0.00000000 -0.26959608 0.74852540
0.00000000 0.70630126 0.05989691
0.00000000 -1.71640229 -1.47996655
0.00000000 1.53577968 -0.06581253
-0.00000000 -3.92018929 -0.06993390
0.00000000 -2.01140871 1.51337657
0.00000000 1.32778759 -0.08113353
-0.19908490 -2.36913759 0.73526319
0.19908490 -2.36913759 0.73526319
-0.00000000 -0.83401762 -0.90362394
-0.02618379 4.28181065 3.44822371
0.02618379 4.28181065 3.44822370
0.00000000 -0.80090919 0.87586260
-0.00000000 -0.06146284 -2.06312031
0.00000000 4.65056632 -4.26532217
0.00000000 23.50092560 -180.49415017
0.00000000 -19.08766274 692.55213245
